text,labels
"Skilled in data science with hands-on experience in Python, PyTorch.",Python;PyTorch
"Worked on database development projects using HTML, PyTorch, JavaScript.",HTML;PyTorch;JavaScript
"Experienced artificial intelligence professional skilled in Java, Python, C++, React, Angular.",Java;Python;C++;React;Angular
"Skilled in machine learning with hands-on experience in TensorFlow, Pandas, Artificial Intelligence.",TensorFlow;Pandas;Artificial Intelligence
"Professional with experience in DevOps and Data Science, Django, Excel, Docker, Python.",Data Science;Django;Excel;Docker;Python
"Worked on data analysis projects using Spring Boot, Django, HTML, React, Power BI.",Spring Boot;Django;HTML;React;Power BI
"Technical professional specializing in data analysis and MySQL, JavaScript.",MySQL;JavaScript
"Worked on artificial intelligence projects using Excel, Java, PyTorch, MongoDB.",Excel;Java;PyTorch;MongoDB
"Technical professional specializing in cloud computing and C++, Artificial Intelligence, Flask, AWS, Pandas.",C++;Artificial Intelligence;Flask;AWS;Pandas
"Skilled in database development with hands-on experience in TensorFlow, C++, Java.",TensorFlow;C++;Java
"Developed applications related to machine learning using C++, Docker, Angular, JavaScript.",C++;Docker;Angular;JavaScript
"Developed applications related to database development using Pandas, AWS, SQL, CSS, React.",Pandas;AWS;SQL;CSS;React
"Skilled in backend development with hands-on experience in Data Analysis, Pandas.",Data Analysis;Pandas
"Skilled in database development with hands-on experience in MongoDB, MySQL, Django.",MongoDB;MySQL;Django
"Technical professional specializing in software development and AWS, Power BI, Java, Angular.",AWS;Power BI;Java;Angular
"Technical professional specializing in business intelligence and Django, C++, React, Git, Data Science.",Django;C++;React;Git;Data Science
"Built real-world database development solutions using Pandas, Machine Learning, MySQL.",Pandas;Machine Learning;MySQL
"Developed applications related to business intelligence using Django, HTML, Angular.",Django;HTML;Angular
"Built real-world backend development solutions using Kubernetes, Data Science, MySQL, SQL, Angular.",Kubernetes;Data Science;MySQL;SQL;Angular
"Professional with experience in web development and Power BI, Java.",Power BI;Java
"Worked on cloud computing projects using Excel, NumPy, PostgreSQL.",Excel;NumPy;PostgreSQL
"Experienced artificial intelligence professional skilled in MySQL, Data Analysis, MongoDB, Deep Learning, Django.",MySQL;Data Analysis;MongoDB;Deep Learning;Django
"Developed applications related to artificial intelligence using NumPy, Kubernetes.",NumPy;Kubernetes
"Experienced deep learning professional skilled in JavaScript, Flask, PostgreSQL, CSS.",JavaScript;Flask;PostgreSQL;CSS
"Developed applications related to web development using Deep Learning, Power BI, CSS, Git.",Deep Learning;Power BI;CSS;Git
"Experienced backend development professional skilled in HTML, SQL, Power BI.",HTML;SQL;Power BI
"Developed applications related to data analysis using Machine Learning, Python, JavaScript, Git.",Machine Learning;Python;JavaScript;Git
"Worked on cloud computing projects using Java, Angular, Kubernetes.",Java;Angular;Kubernetes
"Professional with experience in web development and PyTorch, Machine Learning.",PyTorch;Machine Learning
"Developed applications related to backend development using NumPy, Machine Learning, Artificial Intelligence.",NumPy;Machine Learning;Artificial Intelligence
"Skilled in business intelligence with hands-on experience in React, Git, Artificial Intelligence, Power BI, PyTorch.",React;Git;Artificial Intelligence;Power BI;PyTorch
"Built real-world deep learning solutions using MySQL, NumPy, Pandas, SQL.",MySQL;NumPy;Pandas;SQL
"Experienced data analysis professional skilled in Angular, C++.",Angular;C++
"Experienced web development professional skilled in Data Science, Angular, Python.",Data Science;Angular;Python
"Worked on data analysis projects using C++, Kubernetes, Java.",C++;Kubernetes;Java
"Professional with experience in frontend development and Django, NumPy, Machine Learning.",Django;NumPy;Machine Learning
"Worked on web development projects using Angular, Excel, Machine Learning, PostgreSQL, React.",Angular;Excel;Machine Learning;PostgreSQL;React
"Worked on software development projects using SQL, PostgreSQL, MongoDB, Docker, PyTorch.",SQL;PostgreSQL;MongoDB;Docker;PyTorch
"Worked on data analysis projects using MySQL, PyTorch.",MySQL;PyTorch
"Strong background in backend development with knowledge of React, Artificial Intelligence, MongoDB.",React;Artificial Intelligence;MongoDB
"Built real-world web development solutions using Django, MongoDB, Angular.",Django;MongoDB;Angular
"Experienced artificial intelligence professional skilled in Java, Pandas.",Java;Pandas
"Professional with experience in frontend development and Git, Power BI.",Git;Power BI
"Professional with experience in software development and Machine Learning, React, Docker, MySQL, Kubernetes.",Machine Learning;React;Docker;MySQL;Kubernetes
"Built real-world DevOps solutions using Python, MySQL, Django, Git, Excel.",Python;MySQL;Django;Git;Excel
"Built real-world artificial intelligence solutions using PostgreSQL, TensorFlow, PyTorch, Excel.",PostgreSQL;TensorFlow;PyTorch;Excel
"Experienced cloud computing professional skilled in React, Flask, Java.",React;Flask;Java
"Professional with experience in artificial intelligence and Java, Data Science, Machine Learning, Deep Learning.",Java;Data Science;Machine Learning;Deep Learning
"Worked on backend development projects using Deep Learning, C++.",Deep Learning;C++
"Strong background in frontend development with knowledge of NumPy, Docker.",NumPy;Docker
"Experienced frontend development professional skilled in Kubernetes, Data Science.",Kubernetes;Data Science
"Technical professional specializing in cloud computing and PostgreSQL, NumPy.",PostgreSQL;NumPy
"Developed applications related to frontend development using React, NumPy, TensorFlow, Spring Boot.",React;NumPy;TensorFlow;Spring Boot
"Worked on data analysis projects using HTML, NumPy, Pandas, Flask, MongoDB.",HTML;NumPy;Pandas;Flask;MongoDB
"Worked on cloud computing projects using MongoDB, Data Analysis.",MongoDB;Data Analysis
"Developed applications related to artificial intelligence using Artificial Intelligence, React.",Artificial Intelligence;React
"Skilled in web development with hands-on experience in Git, SQL, Kubernetes.",Git;SQL;Kubernetes
"Developed applications related to artificial intelligence using Flask, CSS, MongoDB, AWS.",Flask;CSS;MongoDB;AWS
"Developed applications related to artificial intelligence using NumPy, AWS.",NumPy;AWS
"Worked on data science projects using Kubernetes, HTML.",Kubernetes;HTML
"Developed applications related to backend development using PyTorch, Artificial Intelligence.",PyTorch;Artificial Intelligence
"Developed applications related to frontend development using Data Analysis, React, TensorFlow, Spring Boot.",Data Analysis;React;TensorFlow;Spring Boot
"Strong background in web development with knowledge of Django, Kubernetes, Git, Docker, Java.",Django;Kubernetes;Git;Docker;Java
"Developed applications related to backend development using Java, Python, Spring Boot, Power BI.",Java;Python;Spring Boot;Power BI
"Strong background in business intelligence with knowledge of PyTorch, MongoDB, Artificial Intelligence.",PyTorch;MongoDB;Artificial Intelligence
"Professional with experience in business intelligence and JavaScript, C++.",JavaScript;C++
"Professional with experience in cloud computing and AWS, SQL.",AWS;SQL
"Experienced DevOps professional skilled in HTML, Java, Flask, SQL, Kubernetes.",HTML;Java;Flask;SQL;Kubernetes
"Strong background in data analysis with knowledge of React, NumPy, Angular, JavaScript.",React;NumPy;Angular;JavaScript
"Professional with experience in backend development and Git, Angular, Docker.",Git;Angular;Docker
"Strong background in DevOps with knowledge of Python, CSS, PyTorch, Git, Spring Boot.",Python;CSS;PyTorch;Git;Spring Boot
"Worked on business intelligence projects using Django, CSS, Excel.",Django;CSS;Excel
"Technical professional specializing in deep learning and Docker, Java, Machine Learning, Angular, React.",Docker;Java;Machine Learning;Angular;React
"Experienced frontend development professional skilled in AWS, Excel, Docker, Angular.",AWS;Excel;Docker;Angular
"Developed applications related to web development using MySQL, Spring Boot, Django.",MySQL;Spring Boot;Django
"Technical professional specializing in artificial intelligence and Pandas, Deep Learning, MySQL, NumPy.",Pandas;Deep Learning;MySQL;NumPy
"Professional with experience in data science and JavaScript, Kubernetes.",JavaScript;Kubernetes
"Technical professional specializing in data analysis and Java, JavaScript, Data Analysis, PostgreSQL.",Java;JavaScript;Data Analysis;PostgreSQL
"Skilled in cloud computing with hands-on experience in Data Analysis, Deep Learning, JavaScript, MySQL, Kubernetes.",Data Analysis;Deep Learning;JavaScript;MySQL;Kubernetes
"Skilled in artificial intelligence with hands-on experience in Java, TensorFlow, PostgreSQL, Python.",Java;TensorFlow;PostgreSQL;Python
"Technical professional specializing in data analysis and PostgreSQL, C++, NumPy, Git.",PostgreSQL;C++;NumPy;Git
"Developed applications related to data science using PyTorch, Kubernetes.",PyTorch;Kubernetes
"Skilled in backend development with hands-on experience in Spring Boot, MySQL, TensorFlow, Flask, Artificial Intelligence.",Spring Boot;MySQL;TensorFlow;Flask;Artificial Intelligence
"Developed applications related to cloud computing using NumPy, MySQL, PyTorch, Kubernetes, CSS.",NumPy;MySQL;PyTorch;Kubernetes;CSS
